Song,Station,7D,7D-1,"7D Evolution",28D,1Y,Country,"Last Play"
"End Of Beginning","Metro 95.1",32,31,1,109,162,Argentina,2026-02-20T15:13:30+00:00
"End Of Beginning",Disney,4,6,-2,23,45,Argentina,2026-02-18T23:45:02+00:00
"Delete Ya","Urbana Play 104.3 FM",2,2,0,9,28,Argentina,2026-02-17T18:14:42+00:00
"End Of Beginning","40 Principales",1,0,1,6,11,Argentina,2026-02-16T01:38:20+00:00
"End Of Beginning","Urbana Play 104.3 FM",1,1,0,6,66,Argentina,2026-02-15T11:56:24+00:00
"End Of Beginning","Aspen 102.3 FM",0,0,0,0,2,Argentina,2026-01-08T16:00:14+00:00
"Basic Being Basic","40 Principales",0,0,0,0,14,Argentina,2025-04-26T16:27:40+00:00
"Charlie's Garden","Urbana Play 104.3 FM",0,1,-1,1,1,Argentina,2026-02-05T01:48:38+00:00
Runner,Mega,0,0,0,0,1,Argentina,2025-08-07T21:09:41+00:00
"End Of Beginning","Pop Radio",0,0,0,0,2,Argentina,2026-01-08T16:00:19+00:00
