Song,Station,7D,7D-1,"7D Evolution",28D,1Y,Country,"Last Play"
"End Of Beginning",90FM,32,27,5,105,220,Brazil,2026-02-20T17:39:11+00:00
"Basic Being Basic","Rádio Cult FM",9,14,-5,41,134,Brazil,2026-02-20T17:57:54+00:00
"End Of Beginning","89.1 FM",8,5,3,26,95,Brazil,2026-02-19T20:36:04+00:00
"Delete Ya",Educadora,8,0,8,8,8,Brazil,2026-02-20T19:17:00+00:00
"Delete Ya","Atlantida FM - Porto Alegre",8,0,8,8,8,Brazil,2026-02-20T19:15:23+00:00
"Delete Ya","89.1 FM",6,0,6,6,7,Brazil,2026-02-19T21:44:05+00:00
"Delete Ya","Atlantida FM - Florianópolis",5,0,5,5,5,Brazil,2026-02-20T18:19:15+00:00
"End Of Beginning",Educadora,5,6,-1,17,21,Brazil,2026-02-16T18:44:49+00:00
"End Of Beginning","Atlantida FM - Porto Alegre",5,5,0,15,222,Brazil,2026-02-20T18:13:09+00:00
"Delete Ya","Rádio Mix FM",4,0,4,4,4,Brazil,2026-02-20T13:36:42+00:00
"End Of Beginning","Mundo Livre FM Curitiba",3,5,-2,9,26,Brazil,2026-02-15T22:07:42+00:00
"End Of Beginning","Nova Brasil FM (Sao Paulo)",3,36,-33,77,85,Brazil,2026-02-14T02:28:56+00:00
"Carry The Name","Itapema FM",2,2,0,6,62,Brazil,2026-02-19T16:42:44+00:00
"Delete Ya","Mundo Livre FM Curitiba",2,0,2,2,2,Brazil,2026-02-20T17:10:03+00:00
"End Of Beginning","Itapema FM",2,2,0,6,34,Brazil,2026-02-14T19:06:17+00:00
"Delete Ya","Mix FM Rio",2,0,2,2,2,Brazil,2026-02-19T21:19:23+00:00
"Charlie's Garden","Kiss FM",1,1,0,2,2,Brazil,2026-02-14T12:22:30+00:00
"End Of Beginning","Jovem Pan",1,10,-9,18,20,Brazil,2026-02-16T13:18:19+00:00
"End Of Beginning","Difusora FM 97.1",0,0,0,0,1,Brazil,2025-05-23T23:26:35+00:00
"End Of Beginning","Kiss FM",0,0,0,0,3,Brazil,2026-01-13T12:22:11+00:00
"End Of Beginning","Metropolitana 98.5 FM",0,0,0,0,1,Brazil,2026-01-20T04:21:47+00:00
"Try Me","89.1 FM",0,0,0,0,3,Brazil,2025-09-23T21:12:44+00:00
"End Of Beginning","JB FM",0,0,0,1,1,Brazil,2026-01-28T16:38:58+00:00
Potion,"Itapema FM",0,0,0,0,69,Brazil,2026-01-01T06:42:26+00:00
Potion,"89.1 FM",0,0,0,0,8,Brazil,2025-04-04T21:43:26+00:00
"Basic Being Basic","Mundo Livre FM Curitiba",0,0,0,0,29,Brazil,2025-06-23T10:06:01+00:00
"End Of Beginning","Jovem Pan FM Florianópolis",0,12,-12,24,24,Brazil,2026-02-07T23:29:12+00:00
"End Of Beginning","Radio Inconfidentes",0,0,0,1,7,Brazil,2026-01-30T12:27:36+00:00
"Basic Being Basic","89.1 FM",0,0,0,1,19,Brazil,2026-01-30T21:29:38+00:00
