Song,Station,7D,7D-1,"7D Evolution",28D,1Y,Country,"Last Play"
"End Of Beginning","Los 40",57,58,-1,204,603,Mexico,2026-02-20T18:09:30+00:00
"End Of Beginning",XHMA-FM,37,32,5,126,246,Mexico,2026-02-20T18:14:05+00:00
"End Of Beginning","XHJD-FM [D99 ]",31,4,27,35,40,Mexico,2026-02-20T17:57:00+00:00
"End Of Beginning","XHOB-FM [Factor 93.1 FM]",30,4,26,39,138,Mexico,2026-02-20T17:10:23+00:00
"End Of Beginning","Match FM",23,24,-1,88,99,Mexico,2026-02-20T19:15:39+00:00
"End Of Beginning","XHGR-FM - Los 40 Xalapa - 104.1 FM",23,17,6,72,123,Mexico,2026-02-20T16:58:10+00:00
"End Of Beginning","XHESL [Exa 102.1 FM]",22,4,18,33,36,Mexico,2026-02-20T17:53:27+00:00
"End Of Beginning","XHCEL-FM [El y Ella 103.7 FM]",19,10,9,73,485,Mexico,2026-02-20T15:51:16+00:00
"End Of Beginning","XHFAJ-FM [Alfa 91.3]",19,46,-27,97,245,Mexico,2026-02-20T08:06:24+00:00
"End Of Beginning","XHTP-FM [Sensación 95.5]",16,20,-4,80,125,Mexico,2026-02-20T09:53:34+00:00
"End Of Beginning","XHJC [Exa 91.5 FM]",14,22,-8,78,190,Mexico,2026-02-20T15:42:16+00:00
"End Of Beginning","XHERZ-FM [Los 40 93.1]",10,8,2,28,98,Mexico,2026-02-20T12:35:47+00:00
"End Of Beginning","XHZS-FM [100.3 FM]",10,12,-2,29,29,Mexico,2026-02-20T15:43:23+00:00
"End Of Beginning","XHMG-FM [Digital 102.9 FM]",6,6,0,19,196,Mexico,2026-02-20T07:58:04+00:00
"End Of Beginning","XEOYE [Oye 89.7 FM]",6,11,-5,47,61,Mexico,2026-02-20T05:36:41+00:00
"End Of Beginning","XHUAD-FM [Lobos FM 94.1 FM]",6,6,0,27,37,Mexico,2026-02-19T22:55:35+00:00
"End Of Beginning","Radio Chilango",4,7,-3,23,71,Mexico,2026-02-19T21:43:39+00:00
"End Of Beginning","XHPOP-FM [Radio Disney 99.3]",4,6,-2,19,102,Mexico,2026-02-20T11:17:44+00:00
"End Of Beginning","XHOJ-FM [Maxima 106.7]",1,2,-1,4,36,Mexico,2026-02-20T09:57:58+00:00
"Basic Being Basic",XHMA-FM,0,11,-11,70,79,Mexico,2026-02-11T15:00:58+00:00
"Chateau (Feel Alright)",XHMA-FM,0,11,-11,70,78,Mexico,2026-02-11T15:00:44+00:00
"Basic Being Basic","XHJC [Exa 91.5 FM]",0,0,0,0,1,Mexico,2025-02-21T00:54:30+00:00
"End Of Beginning","W Radio 96.9 FM",0,0,0,1,12,Mexico,2026-01-25T08:35:08+00:00
"End Of Beginning","XHUIA-FM [Ibero 90.9]",0,0,0,1,8,Mexico,2026-01-30T17:45:41+00:00
"Basic Being Basic","XHUAD-FM [Lobos FM 94.1 FM]",0,0,0,0,1,Mexico,2026-01-20T22:18:59+00:00
"Basic Being Basic","XHJD-FM [D99 ]",0,0,0,0,32,Mexico,2025-04-30T12:01:24+00:00
Potion,"XHUIA-FM [Ibero 90.9]",0,0,0,0,1,Mexico,2025-04-29T02:57:15+00:00
"Delete Ya","Los 40",0,0,0,0,1,Mexico,2025-02-28T15:33:37+00:00
"End Of Beginning","XHOCL-FM [Diego 99.3 FM]",0,1,-1,1,9,Mexico,2026-02-07T16:00:17+00:00
"Delete Ya","XHOJ-FM [Maxima 106.7]",0,1,-1,2,2,Mexico,2026-02-09T11:28:08+00:00
Potion,"XHTP-FM [Sensación 95.5]",0,0,0,0,1,Mexico,2025-04-04T18:47:23+00:00
"End Of Beginning","XHQRO-FM [Radar 107.5]",0,1,-1,3,3,Mexico,2026-02-09T02:54:44+00:00
Roddy,"XHUIA-FM [Ibero 90.9]",0,0,0,0,3,Mexico,2025-11-06T12:50:41+00:00
"On and On","XHUIA-FM [Ibero 90.9]",0,0,0,0,1,Mexico,2025-02-25T02:34:57+00:00
"Figure You Out","XHUIA-FM [Ibero 90.9]",0,0,0,0,1,Mexico,2025-12-17T15:05:04+00:00
"Lonesome Is A State of Mind","XHJC [Exa 91.5 FM]",0,0,0,0,1,Mexico,2025-04-04T22:19:32+00:00
"Delete Ya","Rock 101",0,0,0,0,1,Mexico,2025-04-17T00:21:59+00:00
"Figure You Out","XHTP-FM [Sensación 95.5]",0,0,0,0,4,Mexico,2026-01-21T22:59:31+00:00
"Delete Ya","XHGR-FM - Los 40 Xalapa - 104.1 FM",0,0,0,0,1,Mexico,2025-02-28T15:34:00+00:00
"Basic Being Basic","XHOJ-FM [Maxima 106.7]",0,1,-1,2,51,Mexico,2026-02-05T21:09:59+00:00
"T. Rex Is Loud",XHMA-FM,0,0,0,0,1,Mexico,2026-01-07T01:27:44+00:00
"End Of Beginning","XHSH-FM [Amor 95.3 FM]",0,0,0,0,10,Mexico,2026-01-16T14:45:42+00:00
"End Of Beginning","ULTRA 92.5 FM PUEBLA",0,0,0,2,8,Mexico,2026-01-26T08:46:31+00:00
"Keep Your Head Up","XHUIA-FM [Ibero 90.9]",0,0,0,0,1,Mexico,2025-11-07T21:35:38+00:00
"Delete Ya","XHERZ-FM [Los 40 93.1]",0,0,0,0,1,Mexico,2025-02-28T15:33:53+00:00
"End Of Beginning","XHOF-FM [Reactor 105.7]",0,0,0,0,4,Mexico,2026-01-09T20:37:40+00:00
"Basic Being Basic","Radio Chilango",0,0,0,0,3,Mexico,2026-01-20T17:38:13+00:00
"End Of Beginning","XHQRT-FM [91 DAT 90.9 FM]",0,2,-2,2,2,Mexico,2026-02-08T22:34:56+00:00
