Playlist Name,Country,Followers,Last Updated,Link,Mood,Platform
Novedades Viernes Andres,Andes,"32,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DX04JcEjRGskm?si=d6aef8cadaa84892,Releases,Spotify
Novedades Viernes Colombia,Colombia,"129,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DX0GwFgIBcx9g?si=8ee2afdb356a4d13,Releases,Spotify
Novedades Viernes Mexico,Mexico,"800,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DWWZJHBoz7SEG?si=560b89a061184b37,Releases,Spotify
Novidades da Semana,Brazil,"1,924,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DX34KNiFQJNVm?si=4ae8f33017d24400,Releases,Spotify
Novedades Viernes - LATAM,LATAM,"942,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DX8O2z77nfMgH?si=4ba7b3ef9b874d9a,Releases,Spotify
Novedades Viernes Cono Sur,"Argentina, Chile, Uruguay","240,188",Each week,https://open.spotify.com/playlist/37i9dQZF1DXbN2VohuRYy9?si=398b6bf46ff044f2,Releases,Spotify
Novedades Indie,LATAM,"298,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DXaaU1AaHpZeu?si=9ba30996037b437d,"Latin Indie, Releases",Spotify
Rock 2025,Mexico,"80,000",Each month,https://open.spotify.com/playlist/37i9dQZF1DX2a2mZUWeTcX?si=bc939ff0e95942bc,"Catalog, Releases, Rock",Spotify
Melancolia Indie,Mexico,"388,000",Each month,https://open.spotify.com/playlist/37i9dQZF1DX4jSp9PHDkEC?si=cb2fb1cbaec741ca,"Gloomy, Indie, Sad",Spotify
Chill Total,Brazil,"46,094",Each month,https://open.spotify.com/playlist/37i9dQZF1DXdEsjhZLqzBi?si=6ed3324a0d8a43d2,"Chill, Instrumental, Jazzy",Spotify
Top Músicas Reels Brazil,Brazil,"169,993",Each week,https://open.spotify.com/playlist/37i9dQZF1DWZfgYWkleB01?si=9e9f1ee1c88149c1,Trending,Spotify
Top Canciones Reels México,Mexico,"184,365",Each week,https://open.spotify.com/playlist/37i9dQZF1DX5pYgLUl85GP?si=9686219373b344e6,Trending,Spotify
bops.,LATAM,"136,663",Each week,https://open.spotify.com/playlist/37i9dQZF1DX8XdqmB6xlX2?si=3fe85fe06d154029,"Indie, Releases",Spotify
Éxitos Colombia,Colombia,"802,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DXbvPjXfc8G9S?si=650be0104b94413f,"Mainstream, Pop, Trending",Spotify
Éxitos México,Mexico,"5,369,548",Each week,https://open.spotify.com/playlist/37i9dQZF1DX5BAPG29mHS8?si=b9659e8975a0449a,"Mainstream, Pop, Trending",Spotify
Buen Vibe,Mexico,"352,333",Every other week,https://open.spotify.com/playlist/37i9dQZF1DXbT1642xPu6H?si=8483f9459e594543,"Chill, EDM, Mainstream",Spotify
Teen Spirit,Mexico,"519,000",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX5drguwUcl5X?si=eb104a3e43354a7a,"Pop, Trending",Spotify
Pop Up,Brazil,"6,733,000",Each week,https://open.spotify.com/playlist/37i9dQZF1DX6aTaZa0K6VA?si=2efec2b2ef704649,"Mainstream, Pop, Releases, Trending",Spotify
Tulum Vibes,Mexico,"175,174",Every other week,https://open.spotify.com/playlist/37i9dQZF1DX9pP7cC2liKw?si=a1b041607f464ed3,"Chill, EDM",Spotify
Fiesta Indie,Mexico,"340,487",Every other week,https://open.spotify.com/playlist/37i9dQZF1DWSXAHZTiX76o?si=38ff5220bf314a94,"Happy, Indie, Instrumental",Spotify
