NAME OF MEDIA,DESCRIPTION & SM,Genre,REACH,Territory,WEBSITE,⛅️,🍎,🎙,🎶,🐥,👍,💃,📸,📹,🤓
"DJ Magla ",Magazine and online radio in LATAM focused on Electronic Music news. Social Media: 300K  and over 80K unique monthly visits,Electronic,"80,000",LATAM,https://djmagla.com,,,,https://open.spotify.com/playlist/32i342Ub6raTbkjmqE7BiH,https://twitter.com/djmagla,https://www.facebook.com/DJMAGLA/,,https://www.instagram.com/djmagla/,https://www.youtube.com/user/DJMAGLatinoamericaTV,
Mni Entertainment,"MNI: General newspaper for entertainment, sports, lifestyle, and music. Social Media: 53K.",,,PENDING,,,,,,,,,,,
Evenpro,"A concert, promotions, and marketing agency in Latin America. Social Media: 1.6M",,,CANCELLED,,,,,,,,,,,
CNN,CNN en Español is CNN's 24-hour Spanish language television and radio news channel which broadcasts to Latin America and the United States. Social Media: 20M,,"20,000,000",LATAM,https://cnnespanol.cnn.com/seccion/entretenimiento/,,,,,https://twitter.com/CNNee,https://www.facebook.com/CNNee,,https://www.instagram.com/cnnee/,https://www.youtube.com/cnnee,
Building Ears,The newest music news blog. Followers: 8.3K,,"8,300",PENDING,,,,,,,,,,,
TKM Magazine,"Teen Magazine distributed in all of LATAM. Social media: +8M ",,,LATAM,https://www.mundotkm.com,,,,,https://twitter.com/mundotkmcom,https://www.facebook.com/pg/tkm/about/?ref=page_internal,,https://www.instagram.com/mundotkmcom/,,
Quarter rock press,"Online music platform with focus in the rock genre. Social media: 116K
",,,LATAM,quarterrockpress.com,,,,,https://twitter.com/qrpoficial,www.facebook.com/quarterpress,,www.instagram.com/qrpoficial,https://www.youtube.com/channel/UCbgjoz5sQZ9oNkNb85rnK4g,
AP Espectaculos,"Latin America’s version of the Associated Press’ entertainment section.
Social Media: 16K.","Alternative, Beauty, Design, Electronic, Fashion, Hip-Hop, Indie, Latin, Lifestyle, News, Pop, Rock","16,000",LATAM,https://www.ap.org/,,,,,https://twitter.com/ap_espectaculos?s=21," https://www.facebook.com/APNews",,,https://youtube.com/c/ap,
"Much Music ","A channel in all Latam.  Made up of news shows, interviews, and videos. Social Media : 165 K",,,LATAM,MuchLA.com,,,,,https://twitter.com/MuchMusicLA,https://www.facebook.com/pg/MuchMusicLA/about/?ref=page_internal,,https://www.instagram.com/muchmusicla/,,
beatMash,"Best electronic, independent, and entertainment music news publication that includes interviews. Social Media: 112K",Electronic,"106,643",LATAM,https://www.beatmashmagazine.com/,,,,https://open.spotify.com/user/beatmashmagazine?play=true&utm_source=open.spotify.com&utm_medium=open&utm_campaign=beatmashmagazine,https://twitter.com/beatmashmag,https://www.facebook.com/beatmashmagazine,,https://www.instagram.com/beatmashmag/,https://www.youtube.com/user/beatmashersTV,
Musica.com,t,,,LATAM,https://www.musica.com,,,,,https://twitter.com/musicapuntocom,https://www.facebook.com/musicacom/,,https://www.instagram.com/musicapuntocom/,https://www.youtube.com/musicapuntocom,
"Tonica ","Un sitio de contenido alternativo con interés en difundir todo tipo artes visuales, música, literatura, moda, tecnología y cualquier manifestación cultural de las mentes jóvenes. Social Media: 21K",,,LATAM,https://www.tonica.la/site/staff/,,,,,https://twitter.com/tonica_la,https://www.facebook.com/Tonicapopnews/,,https://www.instagram.com/tonicapopnews/,,
"Apple Music en Español ",Apple Music in Latin America’s social media accounts for Social Media: 14.3M,,"14,357,000",LATAM,https://www.apple.com/mx/apple-music/,,,,,https://twitter.com/applemusic?s=21,https://www.facebook.com/applemusic,,https://www.instagram.com/applemusic/,https://youtube.com/c/AppleMusic,
K-Pop On Fire,Publication dedicated to all things K-Pop. Social Media: 60K.,K-pop,,LATAM,https://www.kpoponfire.com,,,,,,,,,,
Rockeros VIP,Online platform and radio station for rock music. They feature interviews and discuss trending topics in music. Social Media: 1M,Rock,,LATAM,https://www.rockerosvip.com,,,,https://open.spotify.com/user/1211262254,https://twitter.com/rockerosvip,https://www.facebook.com/rockerosvip/,,https://www.instagram.com/rockerosvip/,https://www.youtube.com/user/rockerosvip,
Sunderbeats,"Online platform for music news, videos, concerts, festivals and more. Focused on indie, pop and rock. Social Media: 135K","Indie, Pop, Rock",,"CHILE, LATAM",https://sunderbeats.com,,,,,twitter.com/sunderbeats,facebook.com/sunderbeatsdotcom,,instagram.com/sunderbeats,,
Mor.bo,"A digital cultural platform that reaches all of Latin America (Mexico, Chile, Argentina, Venezuela and many other countries) with more than 150,000 readers. Social Media: 240K.","Alternative, Hip-Hop, Indie, Rock",,CHILE,https://mor.bo,,,,,https://twitter.com/ismorbo,https://www.facebook.com/ismorbo/,,https://www.instagram.com/ismorbo/,https://www.youtube.com/channel/UCJN4ZOrlPqmTsSXgx_BDvag,
Que Suena,"Website and blog for international music news. Followers: 2.1 K
",,,PENDING,,,,,,,,,,,
,"Digital Newspaper that has 12 editions about music, festivals, and shows. Social Media: 9.8K",,,PENDING,,,,,,,,,,,
Umo Magazine,General LATAM pop culture online publication. Social Media: 34k,,,LATAM,https://umomag.com,https://soundcloud.com/umomag,,,https://open.spotify.com/user/umomag,https://twitter.com/UMOmag,https://www.facebook.com/UMOMAG/,,https://www.instagram.com/umomag/,https://www.youtube.com/c/UMOMAG,
,"A digital cultural platform that reaches all of Latin America (Mexico, Chile, Argentina, Venezuela and many other countries) with more than 150,000 readers. Social Media: 240K",,,PENDING,,,,,,,,,,,
