a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Low,Jan 5,Dry Cleaning,Joy,Single,Alternative,,,4AD,Beggars,spotify:album:5HZ2pmg3km9QzTEfF5gI0Q,GBAFL2500475,1839040855,191400090576,"La banda londinense ganadora del Grammy Dry Cleaning adelanta su tercer álbum Secret Love (producido por Cate Le Bon, disponible el 9 de enero) con “Joy”, su entrega más pop hasta ahora: un coro pegadizo, baterías vibrantes y guitarras luminosas que cierran el disco en una nota optimista, un recordatorio de “no renunciar a la dulzura” pese al caos del mundo. Se viene gira global —incluyendo su mayor show en Londres—, apoyo de YHWH Nailgun, LP del Mes en MOJO, próximas sessions en BBC6 y Brodie, y un sync en The Sims.","Grammy-winning South London band Dry Cleaning anticipate their Cate Le Bon-produced 3rd LP Secret Love (due Jan 9) w/ “Joy” — most obvious pop offering yet via sing-along chorus, toe-tapping drums & upbeat jangly guitar licks; ends LP on an optimistic note, a note to self, “don’t give up on being sweet” in the face of worldly chaos. Forthcoming global tour w/ biggest London headliner; YHWH Nailgun support. MOJO LP of the Month; upcoming BBC6, Brodie sessions; The Sims sync.","https://www.promojukebox.com/PEMDL77108694-ZFUWV85ENSQQHM7X-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,High,Jan 7,Tyler Ballgame,Matter of Taste,Single,alternative,,,Rough Trade,Beggars,spotify:track:54t1dWYSvY6XaBdFdhV20C,GBCVZ2500165,1834736727,191402060256 ,"En el rocker pegadizo “A Matter of Taste,” el cantautor Tyler Ballgame y su banda se liberan, reconociendo un deseo de amor –de una persona, de una audiencia– mientras afirman que está bien si uno no lo recibe: “Eso no es un rechazo a mí como persona,” dice, “Es solo cuestión de gustos.” El sencillo forma parte de las listas de reproducción de 6 Music (x4), Jools Holland, sesiones en WFUV, 6 Music y Radio 2. La próxima prensa incluye reportajes en The Last Leg TV, SPIN + FADER y más. El álbum debut sale el 30 de enero.","On hook-laden rocker “A Matter of Taste,” singer-songwriter Tyler Ballgame and band cut loose, acknowledging a desire for love – from a person, an audience – while also asserting that it's just fine if one doesn’t receive it: “That’s not a rejection of me as a person,” he says, “It’s just a matter of taste.” The single follows 6 Music playlists (x4), Jools Holland, sessions at WFUV, 6 Music & Radio 2. Upcoming press incl. The Last Leg TV, SPIN + FADER features & more. Debut album out Jan 30.On hook-laden rocker “A Matter of Taste,” singer-songwriter Tyler Ballgame and band cut loose, acknowledging a desire for love – from a person, an audience – while also asserting that it's just fine if one doesn’t receive it: “That’s not a rejection of me as a person,” he says, “It’s just a matter of taste.” The single follows 6 Music playlists (x4), Jools Holland, sessions at WFUV, 6 Music & Radio 2. Upcoming press incl. The Last Leg TV, SPIN + FADER features & more. Debut album out Jan 30.","https://www.promojukebox.com/PEMDL75013989-GVRVDMDLUFBADTTL-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,High,Jan 7,Buck Meek,Gasoline,Single,Alternative,,,4AD,Beggars,spotify:album:3m2onmu3VRD4PBZKmBLLen,GBAFL2500527,1854203200,191400090279,"Buck Meek anuncia su nuevo LP, The Mirror (sale el 27 de febrero), con su primer sencillo ""Gasoline"", que equilibra la locura de la devoción con una mezcla de melancolía y una sonrisa. Este es el tercer viaje en solitario de Buck, producido por su compañero de banda en Big Thief, James Krivchenia, y con la participación de la arpista Mary Lattimore y el compositor Alex Sommers.","Buck Meek announces new LP The Mirror (out Feb 27) w/ lead single “Gasoline” — holds the absurdity of devotion with equal parts ache & grin. Buck’s third solo journey — produced by Big Thief bandmate James Krivchenia, ft. harpist Mary Lattimore, composer Alex Sommers — follows Big Thief’s biggest ever shows. Fan-favorite tracks from Buck’s 2024 Australian and North American tours combine the band’s live kinetic energy w/ his oblique electronic world. Global ’26 tour.","https://www.promojukebox.com/PEMDL84687590-59ANHM7YWU2DBVJU-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,High,Jan 7,Robyn,Sexistential / Talk To Me,Single,dance pop,,Talk to me,Young,Beggars,spotify:album:55JdcTMREpApvlZFZ1KFbY,UK7MC2500279,1852752613,889030047052,"""Sexistential"" marca el regreso de Robyn con su disco más eufórico, el sonido de su vuelta a casa trabajando junto a Klas Åhlund y Max Martin. Es un álbum lleno de pop profundamente juguetón, audaz al hablar de placer, necesidad y ternura. Incluye temas impactantes como “Sexistential”, que podría contener el primer rap sobre encuentros de una noche estando embarazada de 10 semanas tras una FIV (interpretado en el programa de Colbert el 7 de enero), y “Talk To Me”, una demanda descarada de conexión. La promoción se completa con una actuación en vivo en CNN para Año Nuevo, una gira mundial por arenas, remixes de Arca y Charli XCX, y portadas confirmadas en prestigiosas publicaciones como The Face, Guardian, Vogue Scandi, New Yorker y Las Culturistas.","Sexistential is Robyn’s most ecstatic record & the sound of her return home working w/ Klas Åhlund&Max Martin. An album of deeply playful pop songs; bold about pleasure, need & softness+has maybe the first rap about 1-night stands while 10 weeks pregnant after IVF (“Sexistential”;performed on Colbert Jan 7), while “Talk To Me” is an unabashed demand for connection. CNN NYE live+WW arena tour. Arca&Charli XCX remixes. Confirmed covers:The Face, Guardian, Vogue Scandi+New Yorker, Las Culturistas. ","https://www.promojukebox.com/PEMDL51513326-SE2EQF88HN29C3U3-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,Med,Jan 8,Daniel Avery,Haze (Midnight Version),Single,Electronic,,,Domino,,spotify:track:2jKirPgYvSeQKXsnFOyifX,GBCEL2500709,1860111198,887829156466,"Midnight Versions continúa el universo que Daniel creó con el álbum original Tremor, ofreciendo una reinterpretación más oscura y nocturna, pensada directamente para su audiencia techno. Cada tema de Tremor fue reimaginado por Daniel y mezclado por Pearson Sound, uno de los productores más innovadores del Reino Unido. Como él mismo lo describe: “Para cada temblor hay una reacción. Estas son las Midnight Versions: canciones enviadas directamente a la noche, edits de club pensados para la luz estroboscópica”.","Midnight Versions continues the world Daniel created with the original Tremor album, offering a darker, late-night reinterpretation that speaks directly to his techno audience. Each track on Tremor has been reworked by Daniel and mixed by one of the UK’s most innovative producers, Pearson Sound. In Daniel’s own words: “For every tremor there’s a reaction. These are the Midnight Versions. Songs reimagined and sent directly into the night. Club edits aimed squarely at the strobe light.",https://delivery.dominomusic.com/b1ef4ffccd243bf1ac,,,,
,High,Jan 9,Dry Cleaning,Secret Love,Album,Alternative,,The Cute Things,4AD,Beggars,spotify:album:79o6ZvFsXaAkL9MHCE6ts4,GBAFL2500475,1839040855,191400086869,"La banda Dry Cleaning, ganadora de un Grammy y originaria del sur de Londres, ya está calentando motores para su tercer LP, Secret Love (que sale el 9 de enero), con su sencillo ""Joy"". Es su propuesta pop más directa hasta ahora, con un coro que invita a cantar, baterías que hacen tocar el pie y riffs de guitarra alegres y vibrantes. El álbum cierra con una nota optimista, un mensaje a sí mismos: ""no dejes de ser dulce"" ante el caos del mundo.","Grammy-winning South London band Dry Cleaning anticipate their Cate Le Bon-produced 3rd LP Secret Love (due Jan 9) w/ “Joy” — most obvious pop offering yet via sing-along chorus, toe-tapping drums & upbeat jangly guitar licks; ends LP on an optimistic note, a note to self, “don’t give up on being sweet” in the face of worldly chaos. Forthcoming global tour w/ biggest London headliner; YHWH Nailgun support. MOJO LP of the Month; upcoming BBC6, Brodie sessions; The Sims sync.","https://www.promojukebox.com/PEMDL77108694-ZFUWV85ENSQQHM7X-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,High,Jan 9,DRAMA,Platonic Romance ,Album,"Electronic, House",,Here With Me,,AWAL,spotify:album:0fOGZAml7Km4yrdvKgipLe,QMFME2549799,1841970378,199538797596,"Platonic Romance es el nuevo álbum de DRAMA y su trabajo más ambicioso hasta la fecha. A lo largo de 13 canciones, el dúo profundiza en su fusión característica de house, R&B, soul y dance-pop, llevando su sonido “lovesick” hacia una mayor claridad emocional y madurez artística. El disco explora el desamor, el crecimiento personal, la aceptación y las complejidades de las relaciones humanas desde una perspectiva honesta y envolvente, difuminando las fronteras entre géneros. La voz evocadora de Rosa se entrelaza con la producción lujosa y detallada de Na’el Shehade, creando un paisaje sonoro tan vulnerable como bailable. Aunque el trabajo formal comenzó en 2024, el álbum incluye canciones desarrolladas a lo largo de toda la historia del dúo, y rinde homenaje a la relación artística que los define: un amor platónico basado en la confianza, la honestidad y una colaboración profunda, consolidándose como la declaración más completa de DRAMA hasta ahora.","Platonic Romance is DRAMA’s new album and their most ambitious work to date. Across 13 tracks, the duo deepen their signature fusion of house, R&B, soul, and dance-pop, pushing their “lovesick” sound toward greater emotional clarity and artistic maturity. The album explores heartbreak, personal growth, acceptance, and the complexities of human relationships with honesty and warmth, blurring genre boundaries throughout. Rosa’s evocative vocals intertwine with Na’el Shehade’s lush, detailed production, creating a soundscape that is both vulnerable and danceable. While formal work began in 2024, the album includes songs developed across the duo’s entire history, paying tribute to the artistic bond that defines them: a platonic love rooted in trust, honesty, and deep collaboration—making this DRAMA’s most complete statement yet.",https://tmwrk.disco.ac/playlist-new/25284228?date=20250930&user_id=335699&signature=Px1cqxdg06IUBFP5ltR4ZEUFP6k%3AHA4OD9Z1,,,,
,,,,,,,,,,,,,,,,,,,,,
,Low,Jan 12,Sleaford Mods,Elitest G.O.A.T. (ft. Aldous Harding),Single,post rock,Jan 16,,Rough Trade,Beggars,spotify:track:2p9VQReMQ1yHLMEdH3KrWc,GBCVZ2500197,1842410157,191402060362,"Impulsada por sintetizadores brillantes y beats insistentes, Elitist G.O.A.T. funciona como una banda sonora agridulce de la vida moderna. Extraída del nuevo álbum de Sleaford Mods, esta joya melódica combina la angustia del siglo XXI, la fanfarronería social, referencias a los Daleks y la voz etérea y liviana como una nube de la incomparable Aldous Harding.","Pulsing with chiming synths and propulsive beats, Elitist G.O.A.T. is a bittersweet soundtrack to modern life. Taken from Sleaford Mods' new album, this melodic gem mixes 21st-century angst, social bravado, Daleks and light-as-a-cloud vocals from the incomparable Aldous Harding. “Aldous is brilliant on this, and Andrew Fearne’s ticking beat pulls you,” says Jason Williamson, which, combined with his own sandpaper rap, delivers elite-level electro pop and one of Sleaford Mods’ own G.O.A.Ts.","https://www.promojukebox.com/PEMDL80758257-P73KRL9DQGPVYARV-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,High,Jan 13,José Gonzalez,Against the dying of the light,Single,Indie folk,Mar 27,,City Slang,,,,,,,,https://s.disco.ac/zhddnarecpoo,,,,
